fa             [fa]           "láb; lép"
fan            [fan]          "lépés"
faa            [faa]          "fordul"
fyi            [fi]           "szőr"
fitha          [fitha]
fyii           [fii]          "puha"
fẏ             [fu]           "tojás"
và             [fà]           "valaki gyereke"
fyái           [fá]           "pénisz"
fyì            [fì]           "dönt, választ"
fìn            [fìn]          "választott"
fyìi           [fìi]          "visz, akar"
fyé            [fí]           "meleg"
féa            [fía]          "lélek, életerő"
féia           [fíia]         "meleg"
vù             [fù]           "ürülék"
vúo            [fú]           "üt"
ma             [ma]           "kéz"
mi             [mi]           "ül $"
mu             [mu]           "nagy állat, úr, antróp"
mui            [mui]          "ragadozó"
mà             [mà]           "jó"
màu            [màu]          "elégedettség"
màng           [màng]         "igen"
màa            [màa]          "jóllakott"
mái            [má]           "család"
mì             [mì]           "porc"
mìa            [mìa]          "rugalmas"
mé             [mí]           "szopik; tej"
méi            [míi]          "testvér"
mù             [mù]           "valaki"
mó             [mú]           "ül"
móu            [múu]          "tyúk"
na             [na]           "öl"
nga            [nga]          "hát"
ghan           [ngan]         "hegy"
ghi            [ngi]          "alszik; gömb"
ghiu           [ngiu]         "összetekeredik"
ghu            [ngu]          "béka"
ghà            [ngà]          "harap"
ái             [ngá]          "nyal"
ngì            [ngì]          "máj"
ngìa           [ngìa]         "finom"
ngìn           [ngìn]         "orvosság"
ngé            [ngí]          "*én"
éa             [ngía]         "én"
ngù            [ngù]          "here"
úo             [ngú]          "ellenség"
úa             [ngúa]         "beteg"
úi             [ngúi]         "betegség"
ni             [ni]           "ki, elő"
nini           [nini]         "vagina"
nu             [nu]           "szív"
nuia           [nuia]         "nagyszerű"
nula           [nura]         "mosolyog (dorombol)"
nà             [nà]           "észrevesz"
nàa            [nàa]          "tud"
nài            [nài]          "mozog"
nàn            [nàn]          "lény"
nái            [ná]           "anyám"
nì             [nì]           "eszik"
nìqhu          [nìxu]         "étel"
né             [ní]           "szürkület, hajnal"
néi            [níi]          "tér"
néa            [nía]          "horizont"
nù             [nù]           "*patkány"
nùqhu          [nùxu]         "vándorpatkány"
nó             [nú]           "szül"
nóa            [núa]          "új"
nói            [núi]          "teremt"
qha            [xa]           "vadászik"
qhi            [xi]           "esik (eső)"
qhimù          [ximù]         "zuhan"
qhiu           [xiu]          "eső"
qhu            [xu]           "egér"
ghà            [xà]           "ki? mi?"
hái            [xá]           "fej"
hán            [xán]          "homlok"
ghì            [xì]           "fut"
hé             [xí]           "ti"
ghù            [xù]           "szag"
ghùn           [xùn]          "nyom"
ghùu           [xùu]          "út"
húo            [xú]           "farok"
húthá          [xúthá]        "mögött"
la             [ra]           "ugrik"
li             [ri]           "*éjszaka"
lin            [rin]          "éjszaka"
lu             [ru]           "*gödör"
lua            [rua]          "fekete"
luia           [ruia]         "mély, sötét"
lung           [rung]         "mély"
lun            [run]          "gödör"
rà             [rà]           "szexel"
ràa            [ràa]          "szex"
rái            [rá]           "dolog, tárgy"
rêa            [ráa]          "föld, talaj"
ryéi           [rái]          "kő"
ryì            [rì]           "kígyó"
ryìng          [rìng]         "gonosz, ijesztő"
ryé            [rí]           "hús"
rù             [rù]           "száj"
rúo            [rú]           "bél"
sa             [sa]           "fúj; harag"
si             [si]           "bajusz"
sii            [sii]          "lát"
sia            [sia]          "megjelenik"
su             [su]           "levél"
sua            [sua]          "gyógynövény"
suu            [suu]          "nő"
sà             [sà]           "lélek"
sái            [sá]           "nappal"
sêa            [sáa]          "fény"
sán            [sán]          "csillag"
sì             [sì]           "hideg"
sìu            [sìu]          "kevés, szűkös"
sìa            [sìa]          "hideg, halott"
sé             [sí]           "fél"
séi            [síi]          "félelem"
sù             [sù]           "pisil"
súo            [sú]           "szopik"
tha            [tha]          "karom"
thi            [thi]          "fióka"
thu            [thu]          "fa"
thà            [thà]          "nem"
thái           [thá]          "nincs"
thì            [thì]          "hol?"
thé            [thí]          "orr"
thù            [thù]          "$"
thúo           [thú]          "test"
thúa           [thúa]
wa             [wa]           "pocok"
wi             [wi]           "csont"
wu             [wu]           "van"
wufya          [wufa]         "áll"
wà             [wà]           "megy"
wái            [wá]           "hall; fül"
wé             [wé]           "iszik"
wì             [wì]           "rigó"
wé             [wí]           "víz"
wù             [wù]           "hal"
wúo            [wú]           "fog"
ya             [ya]           "mond"
yaa            [yaa]          "beszél"
yi             [yi]           "szem"
yu             [yu]           "kacsa"
yuan           [yuan]         "lúd"
yà             [yà]           "tüzelő nő"
yái            [yá]           "nyúl"
yì             [yì]           "*gyerek"
yìan           [yìan]         "gyerek"
yìn            [yìn]          "kamasz gyerek"
yìu            [yìu]          "kicsi"
yé             [yí]           "vonul, megy valahova"
yéa            [yía]          "fehér"
yù             [yù]           "vér"
yó             [yú]           "*férfi"
               []
éyà            [ngí yà]       "én"
mùyà           [mù yà]        "ő G1f"
mùyó           [mù yú]        "ő G1m"
mùyì           [mù yì]        "ő G2"
muyàna         [mu yà na]     "ők"
